fqdn,category
1232131312332.cloud,malicious
12b9665f-0c3b-41dc-ba74-64547e50f2a3.cloud,benign
13333.cloud,malicious
22321321312.cloud,malicious
23336.cloud,malicious
321321312312.cloud,malicious
32165146854651651654.cloud,malicious
32841.se,malicious
32go.cloud,malicious
35241.se,malicious
79154.se,malicious
7p9f.cloud,malicious
acsus.cloud,benign
adah.cloud,benign
ajbani.cloud,benign
aloevera.cloud,benign
andeskar.se,benign
apiapp.cloud,benign
appapi.cloud,benign
appdagen.se,benign
artificial-general-intelligence.cloud,benign
artoflife.se,benign
asdfghjkl123.cloud,malicious
aunoearabstract.cloud,malicious
aunoearabuse.cloud,malicious
aunoearaccept.cloud,malicious
aunoearaccess.cloud,malicious
aunoearaccount.cloud,malicious
aunoearachieve.cloud,malicious
aunoearact.cloud,malicious
aunoearaction.cloud,malicious
aunoearadd.cloud,malicious
aunoearaddress.cloud,malicious
aunoearadvance.cloud,malicious
aunoearadvantage.cloud,malicious
aunoearadventure.cloud,malicious
aunoearadvertise.cloud,malicious
aunoearaffect.cloud,malicious
aunoearaffiliate.cloud,malicious
aunoearage.cloud,malicious
aunoearagree.cloud,malicious
aunoearaid.cloud,malicious
aunoearaim.cloud,malicious
aunoearair.cloud,malicious
aunoearalert.cloud,malicious
aunoearallow.cloud,malicious
aunoearamount.cloud,malicious
aunoearanswer.cloud,malicious
aunoearantique.cloud,malicious
aunoearapparel.cloud,malicious
aunoearappeal.cloud,malicious
aunoearappear.cloud,malicious
aunoearapply.cloud,malicious
aunoearapproach.cloud,malicious
aunoearappropriate.cloud,malicious
aunoeararchive.cloud,malicious
aunoeararm.cloud,malicious
aunoeararray.cloud,malicious
aunoeararticle.cloud,malicious
aunoearask.cloud,malicious
aunoearassist.cloud,malicious
aunoearassociate.cloud,malicious
betalaminrakning.se,benign
binroom.cloud,benign
bluecollarroofing.cloud,benign
bomobd-w1.cloud,malicious
bomobd-w10.cloud,malicious
bomobd-w11.cloud,malicious
bomobd-w13.cloud,malicious
bomobd-w15.cloud,malicious
bomobd-w17.cloud,malicious
bomobd-w18.cloud,malicious
bomobd-w19.cloud,malicious
bomobd-w2.cloud,malicious
bomobd-w20.cloud,malicious
bomobd-w3.cloud,malicious
bomobd-w6.cloud,malicious
bomobd-w7.cloud,malicious
bomobd-w8.cloud,malicious
bomobd-w9.cloud,malicious
bonwic.cloud,benign
brandproposal.cloud,benign
breastcancertreatments.cloud,benign
buckeyedoorcompany.cloud,benign
clara.cloud,benign
co2web.se,benign
container-storage.cloud,benign
cooeeshop.se,benign
corporate-planning.se,benign
culturist.cloud,benign
cup-concept.se,benign
dawnlight.cloud,benign
designandantique.cloud,benign
dingas.se,benign
domwquiable.cloud,malicious
domwquiabout.cloud,malicious
domwquiabove.cloud,malicious
domwquiabsolute.cloud,malicious
domwquiabstract.cloud,malicious
domwquiacademic.cloud,malicious
domwquiaccepted.cloud,malicious
domwquiaccessible.cloud,malicious
domwquiaccessory.cloud,malicious
domwquiaccording.cloud,malicious
domwquiaccurate.cloud,malicious
domwquiacid.cloud,malicious
domwquiacting.cloud,malicious
domwquiactive.cloud,malicious
domwquiactual.cloud,malicious
domwquiadditional.cloud,malicious
domwquiaddressed.cloud,malicious
domwquiadministrative.cloud,malicious
domwquiadopted.cloud,malicious
domwquiadult.cloud,malicious
domwquiadvance.cloud,malicious
domwquiadvanced.cloud,malicious
domwquiadvisory.cloud,malicious
domwquiaffected.cloud,malicious
domwquiaffordable.cloud,malicious
domwquiafrican.cloud,malicious
domwquiafter.cloud,malicious
domwquiaged.cloud,malicious
domwquiago.cloud,malicious
domwquiagreed.cloud,malicious
domwquiagricultural.cloud,malicious
domwquiahead.cloud,malicious
domwquialert.cloud,malicious
domwquialive.cloud,malicious
domwquiall.cloud,malicious
domwquialone.cloud,malicious
domwquialpha.cloud,malicious
domwquialternative.cloud,malicious
domwquiamateur.cloud,malicious
domwquiamazing.cloud,malicious
domwquiamended.cloud,malicious
domwquiamerican.cloud,malicious
domwquianal.cloud,malicious
domwquiancient.cloud,malicious
domwquianimal.cloud,malicious
domwquiannounced.cloud,malicious
domwquiannual.cloud,malicious
domwquianonymous.cloud,malicious
domwquianother.cloud,malicious
domwquianti.cloud,malicious
domwquiappointed.cloud,malicious
domwquiappropriate.cloud,malicious
domwquiapproved.cloud,malicious
domwquiasian.cloud,malicious
domwquiassigned.cloud,malicious
domwquiassistant.cloud,malicious
domwquiassociate.cloud,malicious
domwquiatlantic.cloud,malicious
domwquiattached.cloud,malicious
domwquiaugust.cloud,malicious
domwquiaustralian.cloud,malicious
domwquiauthorized.cloud,malicious
domwquiautomatic.cloud,malicious
domwquiautomotive.cloud,malicious
domwquiavailable.cloud,malicious
domwquibad.cloud,malicious
domwquibanner.cloud,malicious
domwquibase.cloud,malicious
domwquibased.cloud,malicious
domwquibasic.cloud,malicious
fgdfg88.cloud,malicious
fitnessguru.cloud,benign
fitspresso.cloud,benign
flippingood.se,benign
fluxos.cloud,benign
flydream.cloud,benign
flyerssoft.cloud,benign
foconis.cloud,benign
foffano.cloud,benign
foodbox.cloud,benign
foogle.cloud,malicious
fotbollshuset.se,benign
ftkumlahallsberg.se,benign
gfuias-irwqb.cloud,malicious
gfuias-irwqf.cloud,malicious
globalhemp.cloud,benign
goodday.cloud,benign
gt-apleinfo.cloud,malicious
gxae0share.cloud,malicious
gxprobog1.cloud,malicious
gxprobog2.cloud,malicious
gxprobog3.cloud,malicious
gxprobog4.cloud,malicious
gxprobog5.cloud,malicious
gxprobog6.cloud,malicious
gxprobog7.cloud,malicious
gxprobog8.cloud,malicious
gxprobog9.cloud,malicious
heada.cloud,benign
hopjkvr-wa.cloud,malicious
hopjkvr-wb.cloud,malicious
hopjkvr-wc.cloud,malicious
hopjkvr-wd.cloud,malicious
hopjkvr-we.cloud,malicious
hopjkvr-wf.cloud,malicious
hopjkvr-wg.cloud,malicious
hopjkvr-wh.cloud,malicious
hopjkvr-wi.cloud,malicious
hopjkvr-wj.cloud,malicious
hopjkvr-wk.cloud,malicious
hopjkvr-wl.cloud,malicious
hopjkvr-wm.cloud,malicious
hopjkvr-wn.cloud,malicious
hopjkvr-wo.cloud,malicious
hopjkvr-wp.cloud,malicious
hopjkvr-wv.cloud,malicious
hopjkvr-ww.cloud,malicious
hopjkvr-wy.cloud,malicious
hopjkvr-wz.cloud,malicious
huges-marina.se,benign
ifx.se,benign
kameradoktorn.se,benign
karimartens.se,benign
konstruktionshuset.se,benign
ldykb1212.cloud,malicious
meditelligence.se,benign
netfllx.se,malicious
newkukolnapp.cloud,malicious
online-banking-system.cloud,malicious
onlinelibrary.cloud,benign
orren24.se,benign
ostrichpillow.se,benign
percepto.cloud,benign
pistolskyttestockholm.se,benign
project-tester.cloud,benign
quick-healthy-meals.cloud,benign
quizzical.cloud,benign
redigtregister.se,benign
reutnersguldsmedsaffar.se,benign
revise.cloud,benign
rondellensbil.se,benign
seasoned.cloud,benign
selflyfridge.se,benign
simmimic.se,benign
slavteai-k1.cloud,malicious
slavteai-k10.cloud,malicious
slavteai-k11.cloud,malicious
slavteai-k12.cloud,malicious
slavteai-k13.cloud,malicious
slavteai-k14.cloud,malicious
slavteai-k15.cloud,malicious
slavteai-k16.cloud,malicious
slavteai-k17.cloud,malicious
slavteai-k18.cloud,malicious
slavteai-k19.cloud,malicious
slavteai-k2.cloud,malicious
slavteai-k20.cloud,malicious
slavteai-k21.cloud,malicious
slavteai-k22.cloud,malicious
slavteai-k23.cloud,malicious
slavteai-k24.cloud,malicious
slavteai-k25.cloud,malicious
slavteai-k26.cloud,malicious
slavteai-k27.cloud,malicious
slavteai-k28.cloud,malicious
slavteai-k29.cloud,malicious
slavteai-k3.cloud,malicious
slavteai-k30.cloud,malicious
slavteai-k31.cloud,malicious
slavteai-k32.cloud,malicious
slavteai-k33.cloud,malicious
slavteai-k34.cloud,malicious
slavteai-k35.cloud,malicious
slavteai-k36.cloud,malicious
slavteai-k37.cloud,malicious
slavteai-k38.cloud,malicious
slavteai-k39.cloud,malicious
slavteai-k4.cloud,malicious
slavteai-k40.cloud,malicious
slavteai-k5.cloud,malicious
slavteai-k6.cloud,malicious
slavteai-k7.cloud,malicious
slavteai-k8.cloud,malicious
slavteai-k9.cloud,malicious
slipbox.cloud,benign
smartinblock.cloud,benign
smartvision.cloud,benign
smiss.cloud,benign
smisstech.cloud,benign
smnetwork.cloud,benign
snaxis.cloud,benign
solkust.se,benign
stargamehd.cloud,benign
strafire.se,benign
telegram-hub.cloud,malicious
thehouse.cloud,benign
therapistnearme.cloud,benign
toptips.cloud,benign
triggercopy.se,benign
trisa.se,benign
veraojohn247.se,malicious
veterinarerna.se,benign
vikdasow-t16.cloud,malicious
vikdasow-t19.cloud,malicious
vikdasow-t2.cloud,malicious
